skill,param,class,value
Area Parallelogram,prior,default,0.8415328521475247
Area Parallelogram,learns,default,0.07797385169854738
Area Parallelogram,guesses,default,0.47425201765758884
Area Parallelogram,slips,default,0.06703582686999829
Area Parallelogram,forgets,default,0.0
Circumference ,prior,default,0.2009656469364212
Circumference ,learns,default,0.4141980653185837
Circumference ,guesses,default,0.7569778387664893
Circumference ,slips,default,0.28067235974846894
Circumference ,forgets,default,0.0
Complementary and Supplementary Angles,prior,default,0.6390747267974659
Complementary and Supplementary Angles,learns,default,0.35599375376897324
Complementary and Supplementary Angles,guesses,default,0.7424143365330286
Complementary and Supplementary Angles,slips,default,0.08077364900466288
Complementary and Supplementary Angles,forgets,default,0.0
Absolute Value,prior,default,0.30934491109437473
Absolute Value,learns,default,0.04178638081876536
Absolute Value,guesses,default,0.7225375744421667
Absolute Value,slips,default,0.015244473969008288
Absolute Value,forgets,default,0.0
"Angles - Obtuse, Acute, and Right",prior,default,0.39145814836272336
"Angles - Obtuse, Acute, and Right",learns,default,0.24958398546453434
"Angles - Obtuse, Acute, and Right",guesses,default,0.8640387455523229
"Angles - Obtuse, Acute, and Right",slips,default,0.021765765817169307
"Angles - Obtuse, Acute, and Right",forgets,default,0.0
Rounding,prior,default,0.18019953178972356
Rounding,learns,default,0.18071414471806668
Rounding,guesses,default,0.7923749665147232
Rounding,slips,default,0.13768713064087623
Rounding,forgets,default,0.0
Multiplication and Division Integers,prior,default,0.5662638508743754
Multiplication and Division Integers,learns,default,0.04430013886830769
Multiplication and Division Integers,guesses,default,0.7503433524705372
Multiplication and Division Integers,slips,default,0.04613362616995598
Multiplication and Division Integers,forgets,default,0.0
Proportion,prior,default,0.4179340233431127
Proportion,learns,default,0.06623472339559329
Proportion,guesses,default,0.7078762087797793
Proportion,slips,default,0.09348097197183654
Proportion,forgets,default,0.0
Multiplication and Division Positive Decimals,prior,default,0.7087144737310268
Multiplication and Division Positive Decimals,learns,default,0.26592034364576145
Multiplication and Division Positive Decimals,guesses,default,0.6947142433923168
Multiplication and Division Positive Decimals,slips,default,0.13903940471034673
Multiplication and Division Positive Decimals,forgets,default,0.0
Ordering Fractions,prior,default,0.25075804144543234
Ordering Fractions,learns,default,0.424485768046875
Ordering Fractions,guesses,default,0.8448637566470413
Ordering Fractions,slips,default,0.2612445035973659
Ordering Fractions,forgets,default,0.0
"Expanded, Standard and Word Notation",prior,default,0.9942014668255176
"Expanded, Standard and Word Notation",learns,default,0.2234479853037863
"Expanded, Standard and Word Notation",guesses,default,0.3964072117977532
"Expanded, Standard and Word Notation",slips,default,0.12918100475906338
"Expanded, Standard and Word Notation",forgets,default,0.0
Ordering Positive Decimals,prior,default,0.8196895641926576
Ordering Positive Decimals,learns,default,0.023534443056619954
Ordering Positive Decimals,guesses,default,0.5776477997947131
Ordering Positive Decimals,slips,default,0.12244551488837187
Ordering Positive Decimals,forgets,default,0.0
Least Common Multiple,prior,default,0.692976391941612
Least Common Multiple,learns,default,0.1955590526046058
Least Common Multiple,guesses,default,0.5380142545737178
Least Common Multiple,slips,default,0.16563029881416375
Least Common Multiple,forgets,default,0.0
Equivalent Fractions,prior,default,0.8492001138442697
Equivalent Fractions,learns,default,0.10600638475731976
Equivalent Fractions,guesses,default,0.386291271716301
Equivalent Fractions,slips,default,0.11837573113855768
Equivalent Fractions,forgets,default,0.0
Divisibility Rules,prior,default,0.802799531987385
Divisibility Rules,learns,default,0.018455676364685383
Divisibility Rules,guesses,default,0.5669087409029663
Divisibility Rules,slips,default,0.1744818598660295
Divisibility Rules,forgets,default,0.0
Multiplication Fractions,prior,default,0.18785755391087117
Multiplication Fractions,learns,default,0.4628673994091065
Multiplication Fractions,guesses,default,0.8080278304001417
Multiplication Fractions,slips,default,0.17223434829139125
Multiplication Fractions,forgets,default,0.0
Probability of a Single Event,prior,default,0.8950177950961412
Probability of a Single Event,learns,default,0.15023758208672838
Probability of a Single Event,guesses,default,0.4334557230178726
Probability of a Single Event,slips,default,0.16711324042331482
Probability of a Single Event,forgets,default,0.0
Addition and Subtraction Fractions,prior,default,0.9087775253817898
